time,  BV (Volts),  T (deg C),  DO(mg/l),  Q (),Depth(m),height(m),U(m/s)
15:09:06,3.5,26.248,7.526,1.007,0.3577976,2.1422024,0.05405974
15:10:06,3.5,26.181,7.502,1.007,0.3577976,2.1422024,0.05405974
15:11:06,3.5,26.316,7.599,1.007,0.4057292,2.0942708,0.06000902
15:12:06,3.5,26.485,7.54,1.009,0.4057292,2.0942708,0.06000902
15:13:06,3.5,26.324,7.49,1.007,0.8465886,1.6534114,0.06634518
15:14:06,3.5,26.079,7.455,1.006,0.8465886,1.6534114,0.06634518
15:15:06,3.51,25.868,7.312,1.006,1.361964,1.138036,0.07742321
15:16:06,3.51,25.725,7.369,1.007,1.361964,1.138036,0.07742321
15:17:06,3.51,25.598,7.328,1.007,1.835948,0.664052,0.0459494
15:18:06,3.51,25.531,7.274,1.006,1.835948,0.664052,0.0459494
15:19:06,3.51,25.455,7.231,1.007,2.149243,0.350757,0.03233153
15:20:06,3.51,25.405,7.279,1.006,2.149243,0.350757,0.03233153
15:21:06,3.5,25.371,7.235,1.007,2.257564,0.242436,0.02796944
15:22:06,3.5,25.337,7.164,1.008,2.257564,0.242436,0.02796944
,,,,,2.5,,
